,macd,macd_signal,rsi_14,bb_width,close_div_sma20,zscore_ret_20,atr_pct,logret_lag_1,logret_lag_2,logret_lag_3,logret_lag_5,logret_lag_8,logret_lag_13,ret_mean_5,ret_mean_10,ret_mean_20,ret_std_5,ret_std_10,ret_std_20,target_cls,target_reg,Close
684,1463.572483320204,1637.7145643339504,59.021363734246535,0.12188888917287057,1.0135210792299603,-2.248778604537408,0.0345279034362704,0.06384619927627835,-0.02678435783979465,-0.015013537055029228,-0.004725682318407844,0.005955525293475274,-0.005911206955145199,-0.0053666388802586125,0.003139363975217442,0.0032052397974235416,0.04199567157626346,0.030542155973670465,0.022160916990799844,1,0.01214874696667944,36154.76953125
685,1388.5717703679475,1587.88600554075,61.03174384098056,0.11602338424767072,1.0223166950351903,0.38657535485020933,0.03324223753212991,-0.046629756190665436,0.06384619927627835,-0.02678435783979465,-0.002251742592082081,0.02869223982446583,0.010022958693683921,-0.002486540968506308,0.003201598141525361,0.003548301397687521,0.042749728265628055,0.030561772440616822,0.02224778548528489,0,-0.000300085015663709,36596.68359375
686,1313.1104134780835,1532.9308871282167,60.95172828206648,0.11232665238714695,1.0190959301186886,-0.14355278821099035,0.032060127284744624,0.01214874696667944,-0.046629756190665436,0.06384619927627835,-0.015013537055029228,0.01677834605033404,-0.0009365213169939803,0.00045614943936679543,0.002576037110611463,0.0028791730359974638,0.042174384677310855,0.03056316195202164,0.022146961345291497,1,0.021653391391504333,36585.703125
687,1302.9090180404091,1486.9265133106553,64.59730758218228,0.11141164777773083,1.0372369281387606,0.7834848554341644,0.03122400409737136,-0.000300085015663709,0.01214874696667944,-0.046629756190665436,-0.02678435783979465,-0.004725682318407844,-0.0003419870125084872,0.010143699285626593,0.001872152267315313,0.004014155394398704,0.03985206898980196,0.02997016420077155,0.022513818708783398,1,0.002415334454994771,37386.546875
688,1287.280711936357,1446.9973530357959,64.9946394516853,0.11028960986553585,1.0357092466357887,-0.06575122827294069,0.030590109497469136,0.021653391391504333,-0.000300085015663709,0.01214874696667944,0.06384619927627835,-0.002251742592082081,0.011526405303600254,-0.002142473678630125,0.00043585110778138637,0.0038957751770638026,0.026333289284871785,0.02951716544576543,0.02251578808319452,0,-0.045392621921948366,37476.95703125
689,1127.6939486846168,1383.13667216556,53.172376034129016,0.10897693887450413,0.9892320352974576,-1.8658418876607645,0.033348751316932504,0.002415334454994771,0.021653391391504333,-0.000300085015663709,-0.046629756190665436,-0.015013537055029228,0.005955525293475274,-0.0018950468248867106,-0.003630842852572666,0.000528500299931911,0.025811428746616134,0.032913345855830105,0.024611475668812687,1,0.04420138946783627,35813.8125
690,1118.923663602087,1330.2940704528655,60.66997268774555,0.10741358863963818,1.0303890102035262,1.5562671009536537,0.03379908720353698,-0.045392621921948366,0.002415334454994771,0.021653391391504333,0.01214874696667944,-0.02678435783979465,0.02869223982446583,0.004515481675344655,0.0010144703534191689,0.003447651925230677,0.033117587217120034,0.03623967470150308,0.026186852832702133,0,-0.003819999415433914,37432.33984375
691,1087.9161192941028,1281.818480221113,59.76134495188697,0.10109978898068628,1.022860273936436,-0.28190215233747035,0.03288425673323571,0.04420138946783627,-0.045392621921948366,0.002415334454994771,-0.000300085015663709,0.06384619927627835,0.01677834605033404,0.0038114987953906145,0.002133824117378701,0.0035522123022162415,0.03328254398073052,0.03586048854815102,0.026151668783794317,1,0.01148288092363248,37289.62109375
692,1085.5792110693874,1242.5706263907682,61.62882361228093,0.09872294382854507,1.0309432375084373,0.300223878891974,0.032371508233793686,-0.003819999415433914,0.04420138946783627,-0.045392621921948366,0.021653391391504333,-0.046629756190665436,-0.004725682318407844,0.0017773967018162439,0.0059605479937214125,0.0036252084137136688,0.03221311864376018,0.034445572541505876,0.026172709974365233,1,0.002026342935600158,37720.28125
693,1077.4805259381246,1209.5526063002394,61.96654295985842,0.09418889885061177,1.0291703306652953,-0.0667972303435254,0.03051812749591845,0.01148288092363248,-0.003819999415433914,0.04420138946783627,0.002415334454994771,0.01214874696667944,-0.002251742592082081,0.0016995983979373214,-0.00022143764034640635,0.0037733516263433763,0.03221166247571612,0.02781094327107916,0.026153909102097334,0,-0.00844024984109134,37796.79296875
694,1033.5150757533775,1174.345100190867,59.620261047809336,0.08492775062989028,1.017139129674361,-0.44928409205825254,0.029831630885021655,0.002026342935600158,0.01148288092363248,-0.003819999415433914,-0.045392621921948366,-0.000300085015663709,-0.015013537055029228,0.009090072814108726,0.003597512994611003,0.003368438484914233,0.02099052491584768,0.022922599461001263,0.026283343956066928,0,-0.00602017674392167,37479.12109375
695,969.3462820103014,1133.3453365547539,57.947044456974346,0.07721154649981528,1.0085562606922063,-0.32375168039534097,0.029419621983352334,-0.00844024984109134,0.002026342935600158,0.01148288092363248,0.04420138946783627,0.021653391391504333,-0.02678435783979465,-0.0009542404282428614,0.0017806206235508922,0.0024911093825381375,0.00796056667214284,0.02288953052532221,0.026289550422542118,1,0.015367313611233842,37254.16796875
696,954.0468510063511,1097.4856394450735,60.97214420241458,0.07253239685394418,1.0211672111622005,0.4692228428481013,0.029691071398765784,-0.00602017674392167,-0.00844024984109134,0.002026342935600158,-0.003819999415433914,0.002415334454994771,0.06384619927627835,0.0028832221770906897,0.003347360486240647,0.0029616987984260657,0.010464612300758565,0.02326441637025666,0.026438642110939492,1,0.0007241750284948421,37831.0859375
697,933.3740420886461,1064.663319973788,61.115245236458435,0.07435874543824042,1.0203022243138742,-0.032604443568866076,0.02897193269519805,0.015367313611233842,-0.00602017674392167,-0.00844024984109134,0.01148288092363248,-0.045392621921948366,-0.046629756190665436,0.0007314809980631622,0.0012544388499396981,0.0015632955586275161,0.009295023479610252,0.02235835599731064,0.02573638554290018,0,-0.0038571889984724806,37858.4921875
698,894.9141866877326,1030.713493316577,59.858277054385525,0.07561304462813521,1.0158284396237194,-0.17205945782893495,0.028162989137221636,0.0007241750284948421,0.015367313611233842,-0.00602017674392167,0.002026342935600158,0.04420138946783627,0.01214874696667944,-0.0004452253887513655,0.000627186504592973,0.0005315188061871903,0.009461050169537175,0.022410095323635054,0.025506925686415653,1,0.02555073011462817,37712.74609375
